FunctionName, RelativePath, CountLineCode, CountPath, Cyclomatic, MaxNesting, Knots, CountInput, CountOutput, Bugs
print_assignment,bash-3.2\variables.c,19,3,3,1,2,5,3, 0
print_func_list,bash-3.2\variables.c,13,2,2,1,0,2,2, 0
get_bash_command,bash-3.2\variables.c,16,4,4,2,1,3,7, 0
get_group_list,bash-3.2\general.c,27,14,8,2,2,3,5, 0
var_lookup,bash-3.2\variables.c,13,3,3,2,2,5,2, 0
find_variable_internal,bash-3.2\variables.c,17,8,5,1,1,10,3, 0
set_tty_state,bash-3.2\jobs.c,13,2,3,1,0,6,3, 0
make_local_variable,bash-3.2\variables.c,50,103,13,2,6,10,16, 0
make_variable_value,bash-3.2\variables.c,50,19,18,3,4,7,8, 1
bind_variable_value,bash-3.2\variables.c,28,32,10,3,1,8,7, 0
bind_var_to_int,bash-3.2\variables.c,9,1,1,0,0,2,3, 0
bind_function_def,bash-3.2\variables.c,24,2,2,1,1,4,11, 0
makunbound,bash-3.2\variables.c,40,33,11,3,4,13,14, 0
unbind_func,bash-3.2\variables.c,20,4,4,2,1,5,5, 0
unbind_function_def,bash-3.2\variables.c,16,3,3,1,1,3,4, 0
kill_all_local_variables,bash-3.2\variables.c,16,9,5,2,3,6,3, 0
map_over,bash-3.2\variables.c,20,6,5,1,1,8,4, 0
map_over_funcs,bash-3.2\variables.c,14,2,4,1,1,6,4, 0
sort_variables,bash-3.2\variables.c,6,1,1,0,0,4,2, 0
all_shell_variables,bash-3.2\variables.c,5,1,1,0,0,0,2, 0
all_shell_functions,bash-3.2\variables.c,5,1,1,0,0,0,2, 0
all_visible_functions,bash-3.2\variables.c,5,1,1,0,0,0,2, 0
all_visible_variables,bash-3.2\variables.c,5,1,1,0,0,1,2, 0
all_exported_variables,bash-3.2\variables.c,5,1,1,0,0,0,2, 0
local_exported_variables,bash-3.2\variables.c,5,1,1,0,0,0,2, 0
all_local_variables,bash-3.2\variables.c,25,12,8,2,4,8,6, 0
find_tempenv_variable,bash-3.2\variables.c,6,1,2,0,0,2,2, 0
sv_ifs,bash-3.2\variables.c,8,1,1,0,0,3,2, 0
add_or_supercede_exported_var,bash-3.2\variables.c,25,11,10,2,4,7,12, 0
update_export_env_inplace,bash-3.2\variables.c,13,2,5,1,0,4,5, 0
dispose_var_context,bash-3.2\variables.c,12,4,4,2,0,5,3, 0
push_var_context,bash-3.2\variables.c,18,2,2,1,0,6,8, 0
pop_var_context,bash-3.2\variables.c,21,4,4,2,2,5,5, 1
push_dollar_vars,bash-3.2\variables.c,12,2,2,1,0,4,5, 0
pop_dollar_vars,bash-3.2\variables.c,10,2,2,1,1,3,5, 0
dispose_saved_dollar_vars,bash-3.2\variables.c,8,2,2,1,1,2,2, 0
sv_globignore,bash-3.2\variables.c,6,1,1,0,0,1,1, 0
sv_locale,bash-3.2\variables.c,11,2,2,1,1,1,3, 0
sv_mail,bash-3.2\variables.c,12,2,2,1,1,1,3, 0
sv_opterr,bash-3.2\variables.c,8,1,2,0,0,0,3, 0
sv_optind,bash-3.2\variables.c,17,3,3,2,1,0,3, 0
sv_path,bash-3.2\variables.c,6,1,1,0,0,0,1, 0
sv_compare,bash-3.2\variables.c,9,2,2,1,0,3,2, 0
setup_glob_ignore,bash-3.2\pathexp.c,12,3,3,1,1,4,3, 0
posix_initialize,bash-3.2\general.c,14,4,3,1,0,3,4, 0
_find_user_command_internal,bash-3.2\findcmd.c,16,4,3,1,2,4,6, 0
find_user_command_internal,bash-3.2\findcmd.c,7,1,1,0,0,4,2, 0
find_user_command_in_path,bash-3.2\findcmd.c,47,68,13,4,10,8,15, 0
find_in_path_element,bash-3.2\findcmd.c,44,36,12,3,5,8,11, 0
find_absolute_program,bash-3.2\findcmd.c,13,3,3,1,2,4,5, 0
get_next_path_element,bash-3.2\findcmd.c,16,3,3,1,1,4,6, 0
is_directory,bash-3.2\findcmd.c,6,1,1,0,0,2,2, 0
executable_or_directory,bash-3.2\findcmd.c,8,1,1,0,0,1,2, 0
user_command_matches,bash-3.2\findcmd.c,63,274,12,4,5,4,13, 0
rl_digit_loop,bash-3.2\lib\readline\misc.c,20,5,5,2,8,4,5, 0
_rl_history_set_point,bash-3.2\lib\readline\misc.c,13,8,6,1,0,9,2, 0
_rl_arg_overflow,bash-3.2\lib\readline\misc.c,15,2,2,1,1,3,8, 0
_rl_arg_init,bash-3.2\lib\readline\misc.c,7,1,1,0,0,2,3, 0
_rl_arg_getchar,bash-3.2\lib\readline\misc.c,10,1,1,0,0,5,4, 0
_rl_arg_dispatch,bash-3.2\lib\readline\misc.c,62,11,10,3,9,14,10, 1
rl_replace_from_history,bash-3.2\lib\readline\misc.c,15,2,2,1,0,7,4, 0
history_filename,bash-3.2\lib\readline\histfile.c,24,3,4,1,2,4,5, 0
history_do_write,bash-3.2\lib\readline\histfile.c,58,86,13,2,2,10,10, 0
make_child,bash-3.2\jobs.c,83,492,20,3,6,15,26, 0
xmalloc,bash-3.2\xmalloc.c,12,2,2,1,0,1,3, 0
xrealloc,bash-3.2\xmalloc.c,13,2,3,1,0,2,4, 0
tgetst1,bash-3.2\lib\termcap\termcap.c,61,55,13,4,5,5,3, 0
find_capability,bash-3.2\lib\termcap\termcap.c,11,3,3,2,3,6,1, 0
scan_file,bash-3.2\lib\termcap\termcap.c,27,3,4,2,3,7,8, 0
gobble_line,bash-3.2\lib\termcap\termcap.c,44,58,9,3,7,9,9, 0
compare_contin,bash-3.2\lib\termcap\termcap.c,25,13,7,3,7,3,1, 0
name_match,bash-3.2\lib\termcap\termcap.c,12,4,4,2,4,3,2, 0
inituser,bash-3.2\examples\loadables\id.c,25,3,3,2,3,9,7, 0
